"ENGINEERING CUTOFF RANK OF CET-2015 - (ROUND-3 ALLOTMENT) ( General ) 21-07-2015"
"1     E001   University Visveswariah College of Engineering          Bangalore"
"1G    1K    1R       2AG  2AK    2AR  2BG   2BK   2BR    3AG  3AK   3AR    3BG  3BK  3BR    GM   GMK   GMR   SCG   SCK   SCR   STG  STK   STR"
"EC Electronics         4561   --   14474    6122 11193 7049 7613     --    --   3789  --   6575 3834                --       --     2958    5966    6451   22076 76926 61044 15199    --     --"
"EE Electrical         10917   --     --    11763 --      --   9396 31980   --   5149  --  15407 5871                --       --     4690   11432    8744   29941   --    --    --     --     --"
"IE Info.Science       10725   --     --     9559   --  13774 7846    --    --   4544  --    --   3725               --       --     3502    8171    6821   28739   --  61629 26177    --     --"
"IM Ind. Engg.         69613   --     --    31812 --    65699 38295   --    --  20197  --    --  21227               --       --    16806     --    55109   80804   --    --    --     --     --"
"Mgmt."
"IT Inst.Tech.         24259   --    --     24992 --    25162 39603      --     --     12236   --      --  11820 34096   --  11505   --  23746 74216  --    --    --                   --      --"
"ME Mechanical         11176   --    --     10210 11325 12989 10265      --     --      7162   --    10607 9790    --  13494 6838 10203 10477 28180 42405 57703 16971                  --    22883"
"TC Telecommn.         16354   --    --     10656 --      --  20372      --     --      6894   --      --   8268   --    --   6087 40056 15532 35870  --    --  40885                  --    51444"
"9     E009   P E S University (Formerly PESIT)      Bangalore"
"1G    1K   1R    2AG 2AK   2AR  2BG  2BK   2BR                 3AG  3AK   3AR   3BG 3BK             3BR     GM      GMK   GMR  SCG  SCK   SCR   STG           STK    STR"
"BT   Bio Technology   17028   --   --  20957 --  49137 9899   --   --                 8328 64111  --   8412 --              --     8281     --  15989 52601  --  63623   --           --      --"
"CE   Civil             9882   --   --   9183 --    --  8343   --   --                  --    --   --  10987 --              --     6920    7781 13117 22656  --    --  18086          --    20015"
"CS   Computers         4319 12650 6199 4004 7298 7581 3183    --  6113                1948   --  4543 1947 4570            3959     654    3850 2988 16391 22007 36614 16219          --      --"
"EC   Electronics       3576   --  4903 3421 6675 4517 4132    --  7194                1775   --  4954 1977  --             4077    1126    4720 3761 13359 18739 23222 8917           --      --"
